row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.000000,0,0,0
16,16,256,4,7,0.001000,0,32,1073
16,16,256,5,9,0.002000,0,32,1068
16,16,256,14,17,0.003000,0,32,1075
16,16,256,19,20,0.004000,32,82,1085
16,16,256,29,15,0.005000,0,32,1075
16,16,256,20,20,0.006000,0,32,1066
16,16,256,21,33,0.007000,64,132,1099
16,16,256,31,29,0.008000,0,32,1073
16,16,256,29,36,0.009000,128,232,1138
16,16,256,41,52,0.010000,96,182,1109
16,16,256,91,87,0.020000,320,532,1261
16,16,256,109,124,0.030000,128,232,1134
16,16,256,164,164,0.040000,224,382,1189
16,16,256,198,208,0.050000,256,432,1221
16,16,256,262,239,0.060000,608,982,1443
16,16,256,289,298,0.070000,512,832,1371
16,16,256,307,322,0.080000,800,1282,1586
16,16,256,384,360,0.090000,864,1382,1616
16,16,256,359,381,0.100000,832,1332,1592
16,16,256,431,479,0.110000,800,1282,1576
16,16,256,819,860,0.210000,1504,2382,2026
16,16,256,1247,1292,0.310000,2208,3482,2521
16,16,256,1710,1661,0.410000,3104,4882,3225
16,16,256,2160,2132,0.510000,4000,6282,3920
16,16,256,2467,2471,0.610000,5024,7882,4652
16,16,256,2862,2976,0.710000,5536,8682,4887
16,16,256,3334,3297,0.810000,6656,10432,5597
16,16,256,3692,3727,0.910000,7296,11432,5960
16,16,256,4096,4096,1.010000,8192,12832,6477
