row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.000000,0,0,0
16,16,256,4,7,0.001000,131072,131328,134367
16,16,256,5,9,0.002000,131072,131328,134383
16,16,256,14,17,0.003000,131072,131328,134354
16,16,256,19,20,0.004000,131072,131328,134524
16,16,256,29,15,0.005000,131072,131328,134456
16,16,256,20,20,0.006000,131072,131328,134543
16,16,256,21,33,0.007000,131072,131328,134590
16,16,256,31,29,0.008000,131072,131328,134539
16,16,256,29,36,0.009000,131072,131328,134515
16,16,256,41,52,0.010000,131072,131328,134332
16,16,256,91,87,0.020000,131072,131328,134263
16,16,256,109,124,0.030000,131072,131328,134405
16,16,256,164,164,0.040000,131072,131328,134492
16,16,256,198,208,0.050000,131072,131328,134316
16,16,256,262,239,0.060000,131072,131328,134588
16,16,256,289,298,0.070000,131072,131328,134460
16,16,256,307,322,0.080000,131072,131328,134446
16,16,256,384,360,0.090000,131072,131328,134474
16,16,256,359,381,0.100000,131072,131328,134486
16,16,256,431,479,0.110000,131072,131328,134560
16,16,256,819,860,0.210000,131072,131328,134298
16,16,256,1247,1292,0.310000,131072,131328,134511
16,16,256,1710,1661,0.410000,131072,131328,134502
16,16,256,2160,2132,0.510000,131072,131328,134580
16,16,256,2467,2471,0.610000,131072,131328,134572
16,16,256,2862,2976,0.710000,131072,131328,134457
16,16,256,3334,3297,0.810000,131072,131328,134452
16,16,256,3692,3727,0.910000,131072,131328,134586
16,16,256,4096,4096,1.010000,131072,131328,134436
