row_count,col_count,inner_count,density,flops,memops,time
32,32,32,0.000000,0,64,488
32,32,32,0.001000,128,260,539
32,32,32,0.002000,256,456,576
32,32,32,0.003000,192,358,554
32,32,32,0.004000,448,750,639
32,32,32,0.005000,320,554,596
32,32,32,0.006000,384,652,618
32,32,32,0.007000,512,848,663
32,32,32,0.008000,640,1044,724
32,32,32,0.009000,960,1534,807
32,32,32,0.010000,384,652,617
32,32,32,0.020000,1280,2024,923
32,32,32,0.030000,1728,2710,1068
32,32,32,0.040000,2240,3494,1273
32,32,32,0.050000,2368,3690,1331
32,32,32,0.060000,3840,5944,1874
32,32,32,0.070000,4608,7120,2263
32,32,32,0.080000,4928,7610,2549
32,32,32,0.090000,6080,9374,2745
32,32,32,0.100000,6400,9864,3078
