row_count,col_count,inner_count,density,flops,memops
1024,1024,1024,0.000000,0,2048
1024,1024,1024,0.001000,2211840,3321968
1024,1024,1024,0.002000,4343808,6522002
1024,1024,1024,0.003000,6481920,9731258
1024,1024,1024,0.004000,8425472,12648484
1024,1024,1024,0.005000,10721280,16094438
1024,1024,1024,0.006000,12709888,19079292
1024,1024,1024,0.007000,14956544,22451470
1024,1024,1024,0.008000,17287168,25949682
1024,1024,1024,0.009000,19503104,29275750
1024,1024,1024,0.010000,21436416,32177606
1024,1024,1024,0.020000,43223040,64878818
1024,1024,1024,0.030000,64344064,96580980
1024,1024,1024,0.040000,85803008,128790352
1024,1024,1024,0.050000,106838016,160363406
1024,1024,1024,0.060000,128604160,193033878
1024,1024,1024,0.070000,150358016,225685906
1024,1024,1024,0.080000,171313152,257139074
1024,1024,1024,0.090000,193699840,290740968
1024,1024,1024,0.100000,215351296,323239296
1024,1024,1024,0.110000,236636160,355187378
1024,1024,1024,0.210000,451543040,677757568
1024,1024,1024,0.310000,666261504,1000044950
1024,1024,1024,0.410000,879929344,1320755370
1024,1024,1024,0.510000,1095856128,1644856412
1024,1024,1024,0.610000,1309882368,1966104782
1024,1024,1024,0.710000,1525024768,2289028482
1024,1024,1024,0.810000,1739235328,2610553512
1024,1024,1024,0.910000,1954191360,2933197478
1024,1024,1024,1.010000,2147483648,3223324672
