row_count,col_count,inner_count,density,flops,memops,time
32,32,32,0.000000,0,64,484
32,32,32,0.001000,128,260,537
32,32,32,0.002000,256,456,584
32,32,32,0.003000,192,358,557
32,32,32,0.004000,448,750,645
32,32,32,0.005000,320,554,600
32,32,32,0.006000,384,652,628
32,32,32,0.007000,512,848,671
32,32,32,0.008000,640,1044,720
32,32,32,0.009000,960,1534,845
32,32,32,0.010000,384,652,631
32,32,32,0.020000,1280,2024,949
32,32,32,0.030000,1728,2710,1101
32,32,32,0.040000,2240,3494,1270
32,32,32,0.050000,2368,3690,1314
32,32,32,0.060000,3840,5944,1881
32,32,32,0.070000,4608,7120,2194
32,32,32,0.080000,4928,7610,2555
32,32,32,0.090000,6080,9374,2799
32,32,32,0.100000,6400,9864,2902
