row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,4,16,0.0010,131072,131328,1443567
16,16,256,8,32,0.0020,131072,131328,1444236
16,16,256,12,48,0.0030,131072,131328,1443510
16,16,256,16,64,0.0040,131072,131328,1443914
16,16,256,20,80,0.0050,131072,131328,1443368
16,16,256,24,96,0.0060,131072,131328,1443622
16,16,256,28,112,0.0070,131072,131328,1443533
16,16,256,32,128,0.0080,131072,131328,1443708
16,16,256,36,144,0.0090,131072,131328,1443702
16,16,256,40,160,0.0100,131072,131328,1443867
16,16,256,80,320,0.0200,131072,131328,1457116
16,16,256,120,480,0.0300,131072,131328,1444072
16,16,256,160,640,0.0400,131072,131328,1443699
16,16,256,200,800,0.0500,131072,131328,1444047
16,16,256,240,960,0.0600,131072,131328,1443678
16,16,256,280,1120,0.0700,131072,131328,1444050
16,16,256,320,1280,0.0800,131072,131328,1444256
16,16,256,360,1440,0.0900,131072,131328,1443559
16,16,256,400,1600,0.1000,131072,131328,1443346
16,16,256,440,1760,0.1100,131072,131328,1443737
16,16,256,840,3360,0.2100,131072,131328,1443490
16,16,256,1240,4960,0.3100,131072,131328,1443338
16,16,256,1640,6560,0.4100,131072,131328,1443013
16,16,256,2040,8160,0.5100,131072,131328,1443869
16,16,256,2440,9760,0.6100,131072,131328,1443689
16,16,256,2840,11360,0.7100,131072,131328,1444086
16,16,256,3240,12960,0.8100,131072,131328,1444167
16,16,256,3640,14560,0.9100,131072,131328,1445021
16,16,256,4040,16160,1.0100,131072,131328,1443842
