row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.010000,0,0,0
16,16,256,74,81,0.020000,0,0,17939
16,16,256,119,114,0.030000,0,0,26539
16,16,256,141,160,0.040000,0,0,30703
16,16,256,209,208,0.050000,0,0,44303
16,16,256,253,243,0.060000,0,0,53115
16,16,256,303,287,0.070000,0,0,64031
16,16,256,290,298,0.080000,0,0,60840
16,16,256,360,379,0.090000,0,0,75094
16,16,256,404,415,0.100000,0,0,84155
16,16,256,465,443,0.110000,0,0,97593
16,16,256,829,847,0.210000,0,0,179400
16,16,256,1250,1294,0.310000,0,0,261068
16,16,256,1682,1757,0.410000,0,0,354825
16,16,256,2091,2088,0.510000,0,0,429540
16,16,256,2479,2484,0.610000,0,0,505410
16,16,256,2955,2904,0.710000,0,0,601149
16,16,256,3332,3326,0.810000,0,0,675605
16,16,256,3732,3720,0.910000,0,0,755063
16,16,256,4096,4096,1.010000,0,0,827834
