row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.010000,0,0,0
16,16,256,74,81,0.020000,38,432,5213
16,16,256,119,114,0.030000,110,708,7823
16,16,256,141,160,0.040000,192,1056,11209
16,16,256,209,208,0.050000,334,1532,15642
16,16,256,253,243,0.060000,438,1880,18665
16,16,256,303,287,0.070000,652,2484,24437
16,16,256,290,298,0.080000,666,2556,25141
16,16,256,360,379,0.090000,1012,3572,34947
16,16,256,404,415,0.100000,1308,4308,41649
16,16,256,465,443,0.110000,1530,4864,47022
16,16,256,829,847,0.210000,5510,14440,153866
16,16,256,1250,1294,0.310000,12630,30468,325006
16,16,256,1682,1757,0.410000,23138,53336,538594
16,16,256,2091,2088,0.510000,33980,76344,751878
16,16,256,2479,2484,0.610000,48048,106064,1024472
16,16,256,2955,2904,0.710000,66938,145524,1383364
16,16,256,3332,3326,0.810000,86658,186652,1739722
16,16,256,3732,3720,0.910000,108442,231796,2127400
16,16,256,4096,4096,1.010000,131072,278560,2429111
