row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.010000,0,0,0
16,16,256,74,81,0.020000,38,4842,53361
16,16,256,119,114,0.030000,110,7340,95375
16,16,256,141,160,0.040000,192,9386,156525
16,16,256,209,208,0.050000,334,13172,259128
16,16,256,253,243,0.060000,438,15876,314665
16,16,256,303,287,0.070000,652,18712,383709
16,16,256,290,298,0.080000,666,18648,387993
16,16,256,360,379,0.090000,1012,23468,510720
16,16,256,404,415,0.100000,1308,26228,578349
16,16,256,465,443,0.110000,1530,29170,652131
16,16,256,829,847,0.210000,5510,53412,1265380
16,16,256,1250,1294,0.310000,12630,81590,1963295
16,16,256,1682,1757,0.410000,23138,110136,2543091
16,16,256,2091,2088,0.510000,33980,134006,2864753
16,16,256,2479,2484,0.610000,48048,159224,3069837
16,16,256,2955,2904,0.710000,66938,188050,3127515
16,16,256,3332,3326,0.810000,86658,213648,3034075
16,16,256,3732,3720,0.910000,108442,239120,2753153
16,16,256,4096,4096,1.010000,131072,262944,2425379
