row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.010000,0,0,0
16,16,256,74,81,0.020000,38,404,4818
16,16,256,119,114,0.030000,110,728,7716
16,16,256,141,160,0.040000,192,980,10033
16,16,256,209,208,0.050000,334,1536,14946
16,16,256,253,243,0.060000,438,1920,18398
16,16,256,303,287,0.070000,652,2548,23968
16,16,256,290,298,0.080000,666,2524,23890
16,16,256,360,379,0.090000,1012,3496,32631
16,16,256,404,415,0.100000,1308,4264,40700
16,16,256,465,443,0.110000,1530,4952,47046
16,16,256,829,847,0.210000,5510,14368,153387
16,16,256,1250,1294,0.310000,12630,30292,323911
16,16,256,1682,1757,0.410000,23138,53036,547944
16,16,256,2091,2088,0.510000,33980,76356,773257
16,16,256,2479,2484,0.610000,48048,106044,1046374
16,16,256,2955,2904,0.710000,66938,145728,1447912
16,16,256,3332,3326,0.810000,86658,186676,1822972
16,16,256,3732,3720,0.910000,108442,231844,2241350
16,16,256,4096,4096,1.010000,131072,278560,2559994
