row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.010000,0,0,0
16,16,256,74,81,0.020000,2368,3732,41843
16,16,256,119,114,0.030000,3808,5982,66002
16,16,256,141,160,0.040000,4512,7082,77921
16,16,256,209,208,0.050000,6688,10482,114521
16,16,256,253,243,0.060000,8096,12682,138122
16,16,256,303,287,0.070000,9696,15182,164976
16,16,256,290,298,0.080000,9280,14532,158136
16,16,256,360,379,0.090000,11520,18032,208158
16,16,256,404,415,0.100000,12928,20232,218911
16,16,256,465,443,0.110000,14880,23282,252239
16,16,256,829,847,0.210000,26528,41482,448115
16,16,256,1250,1294,0.310000,40000,62532,674439
16,16,256,1682,1757,0.410000,53824,84132,878752
16,16,256,2091,2088,0.510000,66912,104582,1128544
16,16,256,2479,2484,0.610000,79328,123982,1336725
16,16,256,2955,2904,0.710000,94560,147782,1595106
16,16,256,3332,3326,0.810000,106624,166632,1795778
16,16,256,3732,3720,0.910000,119424,186632,2014560
16,16,256,4096,4096,1.010000,131072,204832,2209616
