row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,0,4096,0.000000,0,16416,284627,82048
16,16,256,39,4096,0.010000,1248,18912,346438,99520
16,16,256,73,4096,0.020000,2336,21088,394004,114752
16,16,256,112,4096,0.030000,3584,23584,443406,132224
16,16,256,153,4096,0.040000,4896,26208,494109,150592
16,16,256,191,4096,0.050000,6112,28640,543596,167616
16,16,256,256,4096,0.060000,8192,32800,619631,196736
16,16,256,296,4096,0.070000,9472,35360,679230,214656
16,16,256,309,4096,0.080000,9888,36192,687320,220480
16,16,256,380,4096,0.090000,12160,40736,780054,252288
16,16,256,402,4096,0.100000,12864,42144,813383,262144
16,16,256,766,4096,0.200000,24512,65440,1263438,425216
16,16,256,1196,4096,0.300000,38272,92960,1756938,617856
16,16,256,1610,4096,0.400000,51520,119456,2239105,803328
16,16,256,2037,4096,0.500000,65184,146784,2715308,994624
16,16,256,2499,4096,0.600000,79968,176352,3217978,1201600
16,16,256,2927,4096,0.700000,93664,203744,3727512,1393344
16,16,256,3248,4096,0.800000,103936,224288,4107047,1537152
16,16,256,3696,4096,0.900000,118272,252960,4623939,1737856
16,16,256,4096,4096,1.000000,131072,278560,5075086,1917056
