row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,0,4096,0.000000,0,512,7270,2048
16,16,256,39,4096,0.010000,1248,2462,45167,17492
16,16,256,73,4096,0.020000,2336,4162,77884,30956
16,16,256,112,4096,0.030000,3584,6112,114168,46400
16,16,256,153,4096,0.040000,4896,8162,152974,62636
16,16,256,191,4096,0.050000,6112,10062,184738,77684
16,16,256,256,4096,0.060000,8192,13312,246829,103424
16,16,256,296,4096,0.070000,9472,15312,281788,119264
16,16,256,309,4096,0.080000,9888,15962,296015,124412
16,16,256,380,4096,0.090000,12160,19512,360026,152528
16,16,256,402,4096,0.100000,12864,20612,380476,161240
16,16,256,766,4096,0.200000,24512,38812,705559,305384
16,16,256,1196,4096,0.300000,38272,60312,1098514,475664
16,16,256,1610,4096,0.400000,51520,81012,1461128,639608
16,16,256,2037,4096,0.500000,65184,102362,1850749,808700
16,16,256,2499,4096,0.600000,79968,125462,2263174,991652
16,16,256,2927,4096,0.700000,93664,146862,2693072,1161140
16,16,256,3248,4096,0.800000,103936,162912,2966951,1288256
16,16,256,3696,4096,0.900000,118272,185312,3390011,1465664
16,16,256,4096,4096,1.000000,131072,205312,3795078,1624064
