row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,0,4096,0.000000,0,32,1454,128
16,16,256,39,4096,0.010000,1248,2684,47967,18380
16,16,256,73,4096,0.020000,2336,4996,87602,34292
16,16,256,112,4096,0.030000,3584,7648,133294,52544
16,16,256,153,4096,0.040000,4896,10436,181206,71732
16,16,256,191,4096,0.050000,6112,13020,225407,89516
16,16,256,256,4096,0.060000,8192,17440,301427,119936
16,16,256,296,4096,0.070000,9472,20160,347596,138656
16,16,256,309,4096,0.080000,9888,21044,362956,144740
16,16,256,380,4096,0.090000,12160,25872,446908,177968
16,16,256,402,4096,0.100000,12864,27368,472134,188264
16,16,256,766,4096,0.200000,24512,52120,910022,358616
16,16,256,1196,4096,0.300000,38272,81360,1401667,559856
16,16,256,1610,4096,0.400000,51520,109512,1912345,753608
16,16,256,2037,4096,0.500000,65184,138548,2427475,953444
16,16,256,2499,4096,0.600000,79968,169964,2995545,1169660
16,16,256,2927,4096,0.700000,93664,199068,3507652,1369964
16,16,256,3248,4096,0.800000,103936,220896,3899102,1520192
16,16,256,3696,4096,0.900000,118272,251360,4433917,1729856
16,16,256,4096,4096,1.000000,131072,278560,4928848,1917056
