row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,4096,0,0.000000,0,768,14944,4096
16,16,256,4096,38,0.010000,1216,2592,45881,16256
16,16,256,4096,89,0.020000,2848,5040,90123,32576
16,16,256,4096,117,0.030000,3744,6384,115034,41536
16,16,256,4096,164,0.040000,5248,8640,152613,56576
16,16,256,4096,192,0.050000,6144,9984,175658,65536
16,16,256,4096,276,0.060000,8832,14016,236354,92416
16,16,256,4096,304,0.070000,9728,15360,261123,101376
16,16,256,4096,328,0.080000,10496,16512,279410,109056
16,16,256,4096,368,0.090000,11776,18432,305306,121856
16,16,256,4096,410,0.100000,13120,20448,344111,135296
16,16,256,4096,818,0.200000,26176,40032,653227,265856
16,16,256,4096,1242,0.300000,39744,60384,974548,401536
16,16,256,4096,1647,0.400000,52704,79824,1276885,531136
16,16,256,4096,2087,0.500000,66784,100944,1610068,671936
16,16,256,4096,2530,0.600000,80960,122208,1955920,813696
16,16,256,4096,2854,0.700000,91328,137760,2202821,917376
16,16,256,4096,3276,0.800000,104832,158016,2504891,1052416
16,16,256,4096,3674,0.900000,117568,177120,2877530,1179776
16,16,256,4096,4096,1.000000,131072,197376,3152024,1314816
