row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,0,0,462,0
32,32,32,11,8,0.010000,2,227,2028,924
32,32,32,59,50,0.050000,194,2743,20410,12328
32,32,32,114,92,0.100000,646,5878,42596,27840
32,32,32,214,197,0.200000,2574,13700,93454,71100
32,32,32,291,339,0.300000,6050,25410,192057,139104
32,32,32,425,428,0.400000,11398,39723,302113,228980
32,32,32,543,499,0.500000,16890,53569,405653,317788
32,32,32,595,642,0.600000,23854,72143,533350,434076
32,32,32,733,702,0.700000,32216,91089,613756,560584
32,32,32,815,825,0.800000,42080,115014,830045,715796
32,32,32,917,929,0.900000,53340,141252,1011003,888716
32,32,32,1024,1024,1.000000,65536,168992,1182730,1073280
