row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,0,0,452,0
32,32,32,11,8,0.010000,2,69,936,332
32,32,32,59,50,0.050000,194,712,5571,4248
32,32,32,114,92,0.100000,646,1894,14660,11908
32,32,32,214,197,0.200000,2574,6250,44571,41300
32,32,32,291,339,0.300000,6050,13587,93661,91812
32,32,32,425,428,0.400000,11398,24953,184175,169900
32,32,32,543,499,0.500000,16890,36527,246136,249620
32,32,32,595,642,0.600000,23854,50715,354519,348364
32,32,32,733,702,0.700000,32216,68129,484450,468744
32,32,32,815,825,0.800000,42080,88267,635607,608808
32,32,32,917,929,0.900000,53340,111297,798987,768896
32,32,32,1024,1024,1.000000,65536,136224,895660,942208
