row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,0,0,456,0
32,32,32,11,8,0.010000,704,1099,8468,8664
32,32,32,59,50,0.050000,3776,5870,46231,46372
32,32,32,114,92,0.100000,7296,11318,84502,89504
32,32,32,214,197,0.200000,13696,21218,150573,167904
32,32,32,291,339,0.300000,18624,28841,207446,228272
32,32,32,425,428,0.400000,27200,42107,298562,333328
32,32,32,543,499,0.500000,34752,53789,377679,425840
32,32,32,595,642,0.600000,38080,58937,414137,466608
32,32,32,733,702,0.700000,46912,72599,554818,574800
32,32,32,815,825,0.800000,52160,80717,616259,639088
32,32,32,917,929,0.900000,58688,90815,652537,719056
32,32,32,1024,1024,1.000000,65536,101408,773243,802944
