row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,0,0,454,0
32,32,32,11,8,0.010000,2,35,694,156
32,32,32,59,50,0.050000,194,615,4968,3816
32,32,32,114,92,0.100000,646,1703,12402,11140
32,32,32,214,197,0.200000,2574,5869,43849,39776
32,32,32,291,339,0.300000,6050,13117,90566,89932
32,32,32,425,428,0.400000,11398,24170,164232,166768
32,32,32,543,499,0.500000,16890,35461,239736,245356
32,32,32,595,642,0.600000,23854,49636,333042,344048
32,32,32,733,702,0.700000,32216,66696,484353,463012
32,32,32,815,825,0.800000,42080,86711,625603,602584
32,32,32,917,929,0.900000,53340,109539,788717,761864
32,32,32,1024,1024,1.000000,65536,134240,963841,934272
