row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,65536,67584,510645,540672
32,32,32,11,8,0.010000,65536,67584,536830,540672
32,32,32,59,50,0.050000,65536,67584,495293,540672
32,32,32,114,92,0.100000,65536,67584,528488,540672
32,32,32,214,197,0.200000,65536,67584,519415,540672
32,32,32,291,339,0.300000,65536,67584,503779,540672
32,32,32,425,428,0.400000,65536,67584,506182,540672
32,32,32,543,499,0.500000,65536,67584,523603,540672
32,32,32,595,642,0.600000,65536,67584,537785,540672
32,32,32,733,702,0.700000,65536,67584,530657,540672
32,32,32,815,825,0.800000,65536,67584,509155,540672
32,32,32,917,929,0.900000,65536,67584,498521,540672
32,32,32,1024,1024,1.000000,65536,67584,527394,540672
