row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
64,64,64,0,0,0.000000,0,0,462,0
64,64,64,36,42,0.010000,32,8032,64739,39424
64,64,64,173,220,0.050000,1200,46082,514354,204744
64,64,64,427,422,0.100000,5708,107273,1380381,468308
64,64,64,837,821,0.200000,21412,211927,2761799,949740
64,64,64,1249,1223,0.300000,47742,318595,4322476,1481732
64,64,64,1608,1630,0.400000,81632,418124,5727509,2015408
64,64,64,2090,2030,0.500000,132802,533200,7059459,2680392
64,64,64,2390,2442,0.600000,182240,626462,7618013,3251192
64,64,64,2856,2917,0.700000,260450,749034,8074272,4054320
64,64,64,3275,3304,0.800000,338318,854531,8399926,4787780
64,64,64,3658,3711,0.900000,424464,957102,8428613,5542648
64,64,64,4096,4096,1.000000,524288,1065024,8366185,6373632
