row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
64,64,64,0,0,0.000000,0,128,1221,512
64,64,64,36,42,0.010000,32,2346,16646,9624
64,64,64,173,220,0.050000,1200,20293,133430,89056
64,64,64,427,422,0.100000,5708,46541,320491,222120
64,64,64,837,821,0.200000,21412,103464,781159,545676
64,64,64,1249,1223,0.300000,47742,184160,1317250,1028088
64,64,64,1608,1630,0.400000,81632,278699,1879217,1611020
64,64,64,2090,2030,0.500000,132802,408086,2897997,2437516
64,64,64,2390,2442,0.600000,182240,533811,3820609,3238244
64,64,64,2856,2917,0.700000,260450,721409,4852537,4459760
64,64,64,3275,3304,0.800000,338318,902876,6433131,5654512
64,64,64,3658,3711,0.900000,424464,1101842,7893608,6968784
64,64,64,4096,4096,1.000000,524288,1327232,9552038,8471040
