row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
64,64,64,0,0,0.000000,0,16512,105676,98816
64,64,64,36,42,0.010000,32,19104,139711,109312
64,64,64,173,220,0.050000,1200,50648,544960,240160
64,64,64,427,422,0.100000,5708,111006,1397994,499624
64,64,64,837,821,0.200000,21412,215250,2822999,979416
64,64,64,1249,1223,0.300000,47742,321506,4310707,1509760
64,64,64,1608,1630,0.400000,81632,420676,5672686,2042000
64,64,64,2090,2030,0.500000,132802,535270,6773589,2705056
64,64,64,2390,2442,0.600000,182240,628232,7375876,3274656
64,64,64,2856,2917,0.700000,260450,750338,7930889,4075920
64,64,64,3275,3304,0.800000,338318,855416,7887475,4807704
64,64,64,3658,3711,0.900000,424464,957604,8020360,5561040
64,64,64,4096,4096,1.000000,524288,1065088,7569908,6390272
