row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
64,64,64,0,0,0.000000,0,0,584,0
64,64,64,36,42,0.010000,5376,17152,130631,108288
64,64,64,173,220,0.050000,28160,78336,535834,498176
64,64,64,427,422,0.100000,54016,143232,1045457,913408
64,64,64,837,821,0.200000,105088,270912,2032665,1730560
64,64,64,1249,1223,0.300000,156544,399552,2936465,2553856
64,64,64,1608,1630,0.400000,208640,529792,3839139,3387392
64,64,64,2090,2030,0.500000,259840,657792,4468750,4206592
64,64,64,2390,2442,0.600000,312576,789632,5636742,5050368
64,64,64,2856,2917,0.700000,373376,941632,6163134,6023168
64,64,64,3275,3304,0.800000,422912,1065472,7409012,6815744
64,64,64,3658,3711,0.900000,475008,1195712,8249399,7649280
64,64,64,4096,4096,1.000000,524288,1318912,9309755,8437760
