row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,0,0,0.000000,0,1024,18064,4096
16,16,256,36,42,0.010000,18,1132,20962,4780
16,16,256,173,220,0.050000,276,1922,35784,10036
16,16,256,427,422,0.100000,1360,4598,87609,28260
16,16,256,837,821,0.200000,5410,13518,253251,89880
16,16,256,1249,1223,0.300000,11936,27394,504532,186188
16,16,256,1608,1630,0.400000,20524,45288,826459,310728
16,16,256,2090,2030,0.500000,32966,71136,1287288,490700
16,16,256,2390,2442,0.600000,45498,96800,1718885,669748
16,16,256,2856,2917,0.700000,65064,136864,2460305,949264
16,16,256,3275,3304,0.800000,84518,176610,3186612,1226648
16,16,256,3658,3711,0.900000,105964,220268,3968171,1531488
16,16,256,4096,4096,1.000000,131072,271360,4910648,1888256
