row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,0,0,0.000000,0,12288,211149,65536
16,16,256,36,42,0.010000,1344,14976,275721,84352
16,16,256,173,220,0.050000,7040,26368,505527,164096
16,16,256,427,422,0.100000,13504,39296,766812,254592
16,16,256,837,821,0.200000,26272,64832,1281345,433344
16,16,256,1249,1223,0.300000,39136,90560,1760807,613440
16,16,256,1608,1630,0.400000,52160,116608,2225944,795776
16,16,256,2090,2030,0.500000,64960,142208,2727556,974976
16,16,256,2390,2442,0.600000,78144,168576,3204641,1159552
16,16,256,2856,2917,0.700000,93344,198976,3765397,1372352
16,16,256,3275,3304,0.800000,105728,223744,4241135,1545728
16,16,256,3658,3711,0.900000,118752,249792,4688449,1728064
16,16,256,4096,4096,1.000000,131072,274432,5187167,1900544
