row_count,col_count,inner_count,density,flops,memops,time
32,32,32,0.000000,65536,66560,22987
32,32,32,0.001000,65536,66560,23257
32,32,32,0.002000,65536,66560,23741
32,32,32,0.003000,65536,66560,23125
32,32,32,0.004000,65536,66560,23141
32,32,32,0.005000,65536,66560,23019
32,32,32,0.006000,65536,66560,23358
32,32,32,0.007000,65536,66560,23235
32,32,32,0.008000,65536,66560,23229
32,32,32,0.009000,65536,66560,23379
32,32,32,0.010000,65536,66560,23319
32,32,32,0.020000,65536,66560,23194
32,32,32,0.030000,65536,66560,23082
32,32,32,0.040000,65536,66560,23233
32,32,32,0.050000,65536,66560,23220
32,32,32,0.060000,65536,66560,23112
32,32,32,0.070000,65536,66560,23258
32,32,32,0.080000,65536,66560,23281
32,32,32,0.090000,65536,66560,23267
32,32,32,0.100000,65536,66560,23247
