row_count,col_count,inner_count,density,flops,memops
1024,1024,1024,0.000000,0,2048
1024,1024,1024,0.001000,2200,10768
1024,1024,1024,0.002000,8720,27972
1024,1024,1024,0.003000,19320,53348
1024,1024,1024,0.004000,34094,86692
1024,1024,1024,0.005000,52750,128488
1024,1024,1024,0.006000,76096,179064
1024,1024,1024,0.007000,102450,236160
1024,1024,1024,0.008000,140054,315920
1024,1024,1024,0.009000,173372,386884
1024,1024,1024,0.010000,215416,474748
1024,1024,1024,0.020000,862558,1811584
1024,1024,1024,0.030000,1909018,3945756
1024,1024,1024,0.040000,3427330,7024292
1024,1024,1024,0.050000,5314904,10840524
1024,1024,1024,0.060000,7674294,15601816
1024,1024,1024,0.070000,10521014,21337744
1024,1024,1024,0.080000,13697952,27732548
1024,1024,1024,0.090000,17398508,35177384
1024,1024,1024,0.100000,21575144,43572944
1024,1024,1024,0.110000,26032258,52528744
1024,1024,1024,0.210000,94888882,190661732
1024,1024,1024,0.310000,206427098,414157536
1024,1024,1024,0.410000,360278606,722277872
1024,1024,1024,0.510000,557831780,1117805952
1024,1024,1024,0.610000,799156562,1600873536
1024,1024,1024,0.710000,1082787492,2168555596
1024,1024,1024,0.810000,1408078854,2819556700
1024,1024,1024,0.910000,1778338414,3560495656
1024,1024,1024,1.010000,2147483648,4299163648
