k,function,time,faults,bytes,flops,memops,cache,branch
5,CSR_x_CSR,4743,0,0,0,0,0,1
5,CSR_x_CSC,8563,0,0,0,0,0,5
5,CSR_x_COO,5838,0,0,0,0,0,1
5,CSC_x_CSR,4915,0,0,0,0,0,2
5,CSC_x_COO,5088,0,0,0,0,0,1
5,COO_x_CSR,5055,0,0,0,0,0,1
5,COO_x_CSC,7856,0,0,0,0,0,3
5,COO_x_COO,6298,0,0,0,0,0,1
4,CSR_x_CSR,4950,0,0,0,0,0,1
4,CSR_x_CSC,6093,0,0,0,0,0,1
4,CSR_x_COO,5449,0,0,0,0,0,1
4,CSC_x_CSR,5228,0,0,0,0,0,1
4,CSC_x_COO,5339,0,0,0,0,0,1
4,COO_x_CSR,4648,0,0,0,0,0,0
4,COO_x_CSC,6454,0,0,0,0,0,1
4,COO_x_COO,5801,0,0,0,0,0,1
3,CSR_x_CSR,5562,0,0,0,0,0,1
3,CSR_x_CSC,5739,0,0,0,0,0,1
3,CSR_x_COO,5824,0,0,0,0,0,1
3,CSC_x_CSR,5663,0,0,0,0,0,1
3,CSC_x_COO,5473,0,0,0,0,0,1
3,COO_x_CSR,5579,0,0,0,0,0,1
3,COO_x_CSC,6090,0,0,0,0,0,1
3,COO_x_COO,5777,0,0,0,0,0,1
2,CSR_x_CSR,4212,0,0,0,0,0,0
2,CSR_x_CSC,5988,0,0,0,0,0,1
2,CSR_x_COO,5869,0,0,0,0,0,1
2,CSC_x_CSR,5840,0,0,0,0,0,1
2,CSC_x_COO,4356,0,0,0,0,0,0
2,COO_x_CSR,5941,0,0,0,0,0,1
2,COO_x_CSC,6012,0,0,0,0,0,1
2,COO_x_COO,6258,0,0,0,0,0,1
1,CSR_x_CSR,6160,0,0,0,0,0,1
1,CSR_x_CSC,6588,0,0,0,0,0,1
1,CSR_x_COO,4334,0,0,0,0,0,0
1,CSC_x_CSR,6513,0,0,0,0,0,1
1,CSC_x_COO,6554,0,0,0,0,0,1
1,COO_x_CSR,6393,0,0,0,0,0,1
1,COO_x_CSC,6538,0,0,0,0,0,1
1,COO_x_COO,6665,0,0,0,0,0,1
